ID	Result	NatureCode
2017-000923	11	321
2017-000924	1	611
2017-000925	11	321
2017-000926	10	311
2017-000927	1	324
2017-000928	1	710
2017-000929	1	324
2017-000930	10	300
2017-000931	1	322
2017-000932	10	311
2017-000933	11	321
2017-000934	10	311
2017-000935	11	321
2017-000936	1	324
2017-000937	10	311
2017-000938	1	611
2017-000939	1	553
2017-000940	1	324
2017-000941	10	311
2017-000942	11	321
2017-000943	10	300
2017-000944	1	424
2017-000945	1	322
2017-000946	11	321
2017-000947	10	300
2017-000948	10	311
2017-000949	10	311
2017-000950	11	321
2017-000951	1	611
2017-000952	11	321
2017-000953	1	554
2017-000954	1	324
2017-000955	1	324
2017-000956	1	561
2017-000957	1	324
2017-000958	1	611
2017-000959	1	611
2017-000960	1	611
2017-000961	1	324
2017-000962	1	324
2017-000963	1	600
2017-000964	1	743
2017-000965	1	611
2017-000966	1	746
2017-000967	1	600
2017-000968	10	311
2017-000969	1	324
2017-000970	11	321
2017-000971	1	324
2017-000972	1	324
2017-000973	11	321
2017-000974	10	300
2017-000975	1	622
2017-000976	1	324
2017-000977	1	322
2017-000978	10	311
2017-000979	1	611
2017-000980	11	321
2017-000981	1	324
2017-000982	10	311
2017-000983	11	321
2017-000984	1	743
2017-000985	10	311
2017-000986	1	611
2017-000987	1	251
2017-000988	1	324
2017-000989	11	321
2017-000990	1	622
2017-000991	11	321
2017-000992	11	321
2017-000993	1	745
2017-000994	1	324
2017-000995	1	622
2017-000996	1	324
2017-000997	1	324
2017-000998	1	251
2017-000999	1	700
2017-001000	11	321
2017-001001	1	611
2017-001002	11	321
2017-001003	1	731
2017-001004	1	324
2017-001005	1000	324
2017-001006	1	324
2017-001007	1	324
2017-001008	10	311
2017-001009	10	311
2017-001010	1	611
2017-001011	1	154
2017-001012	1	324
2017-001013	11	321
2017-001014	1	324
2017-001015	10	311
2017-001016	1	331
2017-001017	11	321
2017-001018	11	321
2017-001019	10	311
2017-001020	10	300
2017-001021	11	321
2017-001022	11	321
2017-001023	1	600
2017-001024	11	321
2017-001025	10	311
2017-001026	1	552
2017-001027	1	745
2017-001028	11	321
2017-001029	1	324
2017-001030	1	622
2017-001031	1	324
2017-001032	10	311
2017-001033	11	321
2017-001034	10	300
2017-001035	1	611
2017-001036	10	311
2017-001037	11	321
2017-001038	1	622
2017-001039	1	324
2017-001040	10	311
2017-001041	1	661
2017-001042	1	611
2017-001043	1	324
2017-001044	11	321
2017-001045	10	311
2017-001046	11	321
2017-001047	1	611
2017-001048	10	311
2017-001049	1	324
2017-001050	1	745
2017-001051	10	311
2017-001052	1	551
2017-001053	11	321
2017-001054	10	311
2017-001055	11	321
2017-001056	1010	321
2017-001057	11	321
2017-001058	11	321
2017-001059	1	324
2017-001060	1	611
2017-001061	1	324
2017-001062	11	321
2017-001063	1	324
2017-001064	10	311
2017-001065	1	324
2017-001066	1	324
2017-001067	1010	321
2017-001068	1	700
2017-001069	11	321
2017-001070	1	600
2017-001071	11	321
2017-001072	1	531
2017-001073	1	745
2017-001074	1	550
2017-001075	11	321
2017-001076	11	321
2017-001077	11	321
2017-001078	11	321
2017-001079	10	300
2017-001080	11	321
2017-001081	11	321
2017-001082	10	311
2017-001083	11	321
2017-001084	11	321
2017-001085	1	622
2017-001086	1	324
2017-001087	11	321
2017-001088	1	611
2017-001089	1	551
2017-001090	1	463
2017-001091	1	735
2017-001092	11	321
2017-001093	10	311
2017-001094	11	321
2017-001095	10	311
2017-001096	11	321
2017-001097	10	311
2017-001098	10	311
2017-001099	11	321
2017-001100	11	321
2017-001101	11	321
2017-001102	10	300
2017-001103	11	321
2017-001104	1	324
2017-001105	1	710
2017-001106	1	611
2017-001107	1	622
2017-001108	11	321
2017-001109	11	321
2017-001110	10	311
2017-001111	1	611
2017-001112	10	300
2017-001113	10	300
2017-001114	10	311
2017-001115	1	324
2017-001116	10	311
2017-001117	10	311
2017-001118	1	710
2017-001119	1	322
2017-001120	10	300
2017-001121	10	311
2017-001122	10	311
2017-001123	11	321
2017-001124	10	311
2017-001125	10	311
2017-001126	10	311
2017-001127	11	321
2017-001128	10	300
2017-001129	11	321
2017-001130	1000	611
2017-001132	10	311
2017-001131	10	311
2017-001133	11	321
2017-001134	1	324
2017-001135	1	324
2017-001136	11	321
2017-001137	1	611
2017-001138	1	600
2017-001139	11	321
2017-001140	11	321
2017-001141	10	300
2017-001142	1	734
2017-001143	1	730
2017-001144	10	311
2017-001145	11	321
2017-001146	1	550
2017-001147	1	324
2017-001148	1	611
2017-001149	11	321
2017-001150	10	311
2017-001151	1	324
2017-001152	11	321
2017-001153	1	324
2017-001154	1	324
2017-001155	11	321
2017-001156	1	611
2017-001157	1	522
2017-001158	11	321
2017-001159	11	321
2017-001160	1	324
2017-001161	11	321
2017-001162	1113	111
