ID	Result	NatureCode
2017-009876	1	322
2017-009877	11	321
2017-009878	11	321
2017-009879	10	311
2017-009880	1	611
2017-009881	1	331
2017-009882	1	324
2017-009883	11	321
2017-009884	10	311
2017-009885	10	311
2017-009886	11	321
2017-009887	1	611
2017-009888	11	321
2017-009889	1	553
2017-009890	10	311
2017-009891	11	321
2017-009892	1	130
2017-009893	1	500
2017-009894	1	600
2017-009895	11	321
2017-009896	11	321
2017-009897	1	412
2017-009898	11	321
2017-009899	1	131
2017-009900	1	550
2017-009901	11	321
2017-009902	1	323
2017-009903	11	321
2017-009904	1	700
2017-009905	1	611
2017-009906	1	700
2017-009907	1010	321
2017-009908	11	321
2017-009909	11	321
2017-009910	1	324
2017-009911	1	412
2017-009912	1	324
2017-009913	1	324
2017-009914	11	321
2017-009915	1	154
2017-009916	11	321
2017-009917	11	321
2017-009918	11	321
2017-009919	11	321
2017-009920	11	321
2017-009921	1	611
2017-009922	10	300
2017-009923	1	735
2017-009924	1	745
2017-009925	1	600
2017-009926	1	611
2017-009927	1	622
2017-009928	1	324
2017-009929	1	324
2017-009930	1	600
2017-009931	1	440
2017-009932	10	311
2017-009933	11	321
2017-009934	1	324
2017-009935	10	311
2017-009936	11	321
2017-009937	11	321
2017-009938	11	321
2017-009939	1	324
2017-009940	1	734
2017-009941	10	300
2017-009942	10	311
2017-009943	11	321
2017-009944	1	324
2017-009945	1	500
2017-009946	1	611
2017-009947	11	321
2017-009948	11	321
2017-009949	1010	321
2017-009950	10	311
2017-009951	11	321
2017-009952	10	311
2017-009953	10	311
2017-009954	1	611
2017-009955	1	600
2017-009956	1	611
2017-009957	1	611
2017-009958	11	321
2017-009959	10	311
2017-009960	1	700
2017-009961	11	321
2017-009962	11	321
2017-009963	1010	321
2017-009964	11	321
2017-009965	11	321
2017-009966	1	611
2017-009967	11	321
2017-009968	10	300
2017-009969	1	151
2017-009970	11	321
2017-009971	1	671
2017-009972	11	321
2017-009973	10	300
2017-009974	10	311
2017-009975	11	321
2017-009976	1	324
2017-009977	10	300
2017-009978	10	300
2017-009979	10	311
2017-009980	11	321
2017-009981	1	463
2017-009982	11	321
2017-009983	1	251
2017-009984	10	300
2017-009985	11	321
2017-009986	11	321
2017-009987	1	411
2017-009988	1	611
2017-009989	10	300
2017-009990	10	311
2017-009991	1	611
2017-009992	1	324
2017-009993	11	321
2017-009994	1	741
2017-009995	11	321
2017-009996	11	321
2017-009997	1	611
2017-009998	11	321
2017-009999	1010	321
